"area","key","es-SP"
"donate","oneTimePayroll","¿Desea que esta sea una deducción única?"
"donate","orgAdded","se ha agregado a la lista de organizaciones que apoya"
"donate","pageTitleOffline","Registrar una donación"
"donate","pageTitleOffline","Registre una donación"
"donate","pageTitleOnline","Donar ahora"
"donate","pageTitleOnline","Donar ahora"
"donate","pageTitlePayroll","Deducción de nómina"
"donate","pageTitlePayroll","Deducción de nómina"
"donate","paymentDetails","Detalles de pago"
"donate","payrollDeductionCreated","Se ha creado su deducción de nómina"
"donate","postalCode","Código Postal"
"donate","processingPayment","Se está procesando su pago"
"donate","receiptSizeMsg","El recibo cargado no puede pesar más de 1,5 MB"
"donate","recordDonation","Registrar donación"
"donate","recordDonationTooltip","Registrar una donación que hizo en otro lugar."
"donate","recordDonationTooltip","Registre una donación que haya hecho en otros lugares y solicite una contrapartida si es elegible."
"donate","requestMatch","Solicite una contrapartida"
"donate","s",""
"donate","savePayrollDeduction","Guardar la deducción de nómina"
"donate","selectANonprofit","Seleccionar una organización"
"donate","selectANonprofit","Seleccionar una organización"
"donate","selectANonprofit","Seleccione una organización"
"donate","selectedNonprofit","Organización seleccionada"
"donate","selectedNonprofit","Organización seleccionada"
"donate","selectedOrganization","La organización seleccionada califica para el siguiente programa de donaciones"
"donate","selectGivingProgram","Por favor, seleccione un programa de donaciones"
"donate","setupDeductionTooltip","Configure  una nueva deducción de nómina."
"donate","specificPurpose","Solicite a la organización que utilice la donación para un propósito específico"
"donate","state","Estado"
"donate","streetAddress","Dirección"
"donate","thankYouForDonation","Gracias por su donación"
"donate","thankYouOffline","Gracias por registrar su donación fuera de línea"
"donate","toDonateSearch","Para donar, por favor, elija un destinatario - Buscar por nombre, ubicación o Identificación de Registro"
"donate","toDonateSearch","Para hacer una donación, por favor elija un destinatario - Buscar por nombre, ubicación o EIN"
"donate","uploadReceipt","Sube una copia del comprobante que recibió por esta donación"
"donate","validCardNumber","Número de tarjeta válida"
"donate","viewEligibleOrganizations","Ver organizaciones elegibles"
"emails","acceptedToGroup","Usted ha sido aceptado en el grupo"
"emails","accessCode","Código de acceso:"
"emails","accountCreated","Una cuenta ha sido creada para que usted pueda revisar las solicitudes de beca."
"emails","accountCreated2","Haga clic en el enlace que se encuentra a continuación para ingresar."
"emails","addedBy","Usted ha sido agregado por"
"emails","addedToCommittee","Ha sido agregado a un Comité de Revisión"
"emails","addedToCommittee1","Recientemente se le agregó como miembro de la"
"emails","addedToCommittee2","para ayudar en la revisión de las solicitudes de financiamiento presentadas. Gracias por prestar servicio en este cargo. Para ver las solicitudes asignadas a este comité para su revisión, por favor inicie sesión en el portal del empleado y vaya a la pestaña Subvención y luego Revisión."
"emails","amountRequested","Monto solicitado:"
"emails","applicant","Solicitante:"
"emails","applicant","Solicitante(s):"
"emails","applicationProcessing","Estamos en proceso de estudio de la solicitud y le notificará cuando se tome una decisión. También puede comprobar el estatus de su solicitud en cualquier momento en el portal del empleado. ¡Gracias por su valioso tiempo prestando servicio a nuestra comunidad!"
"emails","approvedLOI1","¡Felicidades! Se ha aprobado su solicitud de carta de intención para el"
"emails","approvedLOI2","programa. Por favor visite a nuestro solicitante"
"emails","approvedLOI3","antes de la fecha límite de presentación de solicitud de"
"emails","approvedLOI4","para llenar y presentar su solicitud completa."
"emails","approvedLOI5","Si tiene preguntas en cualquier momento durante este proceso, no dude en contactarnos a la dirección indicada abajo."
"emails","assignment","Tarea"
"emails","awardedOn","adjudicado el"
"emails","awardRequest1","Nos complace informarle que la siguiente solicitud, "
"emails","awardRequest2",", ha sido aprobada para la "
"emails","awardRequest3","subvención por la cantidad de"
"emails","awardRequest4",". Por favor continúe a nuestro portal para recibir su adjudicación y descargar el acuerdo de subvención. Le daremos más pasos después de eso."
"emails","cancellationSpace1","Actualmente dispone de un espacio, debido a la cancelación por parte de uno de sus participantes. Se le recuerda que usted tiene una lista  de espera con los miembros del equipo para su proyecto. Por favor revise para"
"emails","cancellationSpace2","añadir los compañeros de trabajo a su lista de espera. Ellos recibirán una notificación por correo electrónico informándole que él / ella ha sido añadido como voluntario para el proyecto."
"emails","clickToLearn","Haga clic para Saber Más"
"emails","confirmNewOrgRequest1","Gracias por su sugerencia"
"emails","confirmNewOrgRequest2","se añadirá a nuestra base de datos en DonateWell. Serán contactados por"
"emails","confirmNewOrgRequest3","con los siguientes pasos"
"emails","confirmNewOrgRequestSubject","Solicitud de la organización confirmada"
"emails","congratulations","Felicidades"
"emails","dear","Estimado"
"emails","declinedLOI1","Gracias por enviar su carta de intención para la"
"emails","declinedLOI2","subvención. Lamentamos informarle que no ha recibido aprobación para presentar una solicitud completa por el siguiente pedido:"
"emails","declinedLOI3","Le animamos a leer los lineamientos de nuestro programa de subvenciones e"
"emails","declinedLOI4","intentar su solicitud nuevamente"
"emails","declinedLOI5","en el futuro. Si tiene alguna pregunta, no dude en contactarnos en la dirección indicada abajo."
"emails","declinedReason","Razón rechazada:<br>"
"emails","declinedRequest1","Lamentamos informarle que no podemos financiar su petición"
"emails","declinedRequest2","de la"
"emails","declinedRequest3","subvención en este momento. Siéntase en libertad de contactarnos con cualquier pregunta. Agradecemos su apoyo de su comunidad local."
"emails","donationTY1","Gracias por su"
"emails","donationTY10","Organización de donaciones recomendada:"
"emails","donationTY11","Dirección de la organización:"
"emails","donationTY12","Monto de donación recomendada:"
"emails","donationTY13","Su donación de"
"emails","donationTY14","ha sido procesada por DonateWell y fue aconsejada para beneficio de"
"emails","donationTY15","DonateWell otorgará estos fondos como una donación a"
"emails","donationTY16","Por favor refiérase a nuestros términos de servicio para obtener más información."
"emails","donationTY17","Tenga en cuenta que el IRS requiere que conserve esta carta como recibo para soportar su donación caritativa."
"emails","donationTY18","De conformidad con los requisitos del IRS para contribuciones caritativas, DonateWell reconoce que ningún bien o servicio, o beneficios de quid pro quo (tangibles o intangibles) fueron proporcionados por DonateWell a cambio de su donación caritativa."
"emails","donationTY19","Usted está recibiendo este correo electrónico transaccional como recibo de su donación a través de"
"emails","donationTY2","donación recomendada a"
"emails","donationTY20","y Good Done Great."
"emails","donationTY21","Si tiene preguntas o necesita asistencia, visite nuestro centro de soporte."
"emails","donationTY22","Tenga en cuenta: Este mensaje fue enviado desde una dirección sólo para notificación, que no acepta correo entrante. Por favor no responda a este mensaje."
"emails","donationTY23","Tenga en cuenta que el IRS requiere que conserve esta carta como recibo para soportar su donación caritativa."
"emails","donationTY24","Donate Well"
"emails","donationTY25","Fecha de donación:"
"emails","donationTY26","EIN:46-0942102"
"emails","donationTY26","Identificación de Registro: 46-0942102"
"emails","donationTY27","1127 Broadway Suite 102"
"emails","donationTY28","Tacoma, WA 98402"
"emails","donationTY3","Su contribución hace que la"
"emails","donationTY4","comunidad de donaciones se fortalezca"
"emails","donationTY5","Recibo de donación"
"emails","donationTY6","Nombre del donante:"
"emails","donationTY7","Cantidad del regalo caritativo:"
"emails","donationTY8","Patrocinador del fondo recomendado por el donante:"
"emails","donationTY9","DonateWell"
"emails","donationTYSubject","Gracias por su donación en línea"
"emails","employeeApplicant","Empleado(s) solicitante(s):"
"emails","forgot_pwd_body"," Hemos recibido una solicitud para restablecer su contraseña. La contraseña temporal que utilizará para iniciar sesión es:"
"emails","forgot_pwd_link_text","Ingresar"
"emails","forgot_pwd_subject","Solicitud de restablecer contraseña de Good Done Great"
"emails","forgot_pwd_subject","solicitud para restablecer contraseña"
"emails","forThe","de la"
"emails","grant","subvención."
"emails","grantAccepted","Subvención aceptada"
"emails","grantProgram","Programa de subvenciones:"
"emails","grantSubmittedSubtext1","Subvención de la Junta enviada"
"emails","grantSubmittedSubtext2","Subvención a voluntario enviada"
"emails","hello","Hola"
"emails","incomplete","incompleto"
"emails","incompleteRequest1","Su solicitud, "
"emails","incompleteRequest2","no fue llenada y presentada antes del fin de"
"emails","incompleteRequest3",". Por favor considere la posibilidad de hacer la solicitud durante nuestro próximo ciclo para este programa. Siéntase en libertad de contactarnos en cualquier momento si tiene preguntas."
"emails","inTHeAmountOf","por la cantidad de $"
"emails","invitationToCollaborate1","Usted ha sido invitado por {sender} a colaborar para una solicitud de subvención para {npoName} para el programa de subvenciones {programName}."
"emails","invitationToCollaborate2","Tenga en cuenta que la solicitud sólo puede ser editada por una persona a la vez. Si más de una persona intenta editar la aplicación al mismo tiempo, corre el riesgo de perder datos."
"emails","invitationToCollaborate3","Puede ver y editar la solicitud en la siguiente url:"
"emails","invitationToCollaborateSubject","Invitación a colaborar en una solicitud de subvención"
"emails","invitationToParticipate1","Ha sido invitado para participar en"
"emails","invitationToParticipateSubject","Invitación para participar en"
"emails","inviteApplicant","Invitación a hacer la solicitud:"
"emails","inviteApplicant1","quieren invitarte a hacer una solicitud para el"
"emails","inviteApplicant2","programa. Haga clc en el enlace que se encuentra a continuación para ingresar a nuestro portal y ver el programa. Una vez que haya ingresado, comience con el proceso de solicitud al hacer clic en ""Aplicar"". "
"emails","inviteApplicant2","programa. Haga clic en el siguiente enlace para acceder a nuestro portal y ver el programa. Una vez haya iniciado sesión, comience el proceso de solicitud haciendo clic en 'Solicitar'. Se le pedirá que introduzca el código de acceso que se muestra a continuación para continuar el proceso."
"emails","inviteApplicant3","Se le pedirá que ingrese el código de acceso que se encuentra a continuación para seguir con el proceso."
"emails","inviteApplicant4","le gustaría invitarlo a aplicar para una beca. Por favor, ingrese al portal utilizando el enlace que se encuentra a continuación y busque los programas disponibles. "
"emails","inviteApplicantCustom",""""
"emails","invitedBy","Usted ha sido invitado por"
"emails","justLogin","inicio de sesión"
"emails","leader","Líder"
"emails","leader","Líder(es)"
"emails","letterOfIntent1","Gracias por enviar su carta de intención (CDI) para la"
"emails","letterOfIntent2","de la"
"emails","letterOfIntentRecieved","Carta de intención recibida"
"emails","location","Ubicación"
"emails","login","Inicio de sesión:"
"emails","loginOnly","Ingreso"
"emails","loginToLearnMore","Ingrese en el portal de empleados para aprender más acerca de esta oportunidad emocionante."
"emails","loginToRegister","Inicie sesión en el portal del empleado para inscribirse en esta emocionante oportunidad"
"emails","loiApprovedSubject","Carta de intención aprobada"
"emails","loiDeclinedSubject","Carta de intención rechazada"
"emails","loiDue1","Este correo es para notificarle que fecha límite para la presentación de la CDI para"
"emails","loiDue2","se está acercando. Por favor, asegúrese de"
"emails","loiDue3","y completar su CDI antes del"
"emails","loiDue4","Si no termina su CDI a tiempo, se marcará como incompleta y no será considerado para una subvención."
"emails","loiDueSubject","Se acerca la fecha tope para la CDI"
"emails","loiSubmittedSubject","Carta de intención recibida"
"emails","matchApproved1","Su solicitud de contrapartida por $"
"emails","matchApproved2","para la organización"
"emails","matchApproved3","ha sido aprobada y el pago está programado"
"emails","matchApprovedSubject","Solicitud de contrapartida aprobada"
"emails","matchFulfilled1","Su pago de contrapartida por el monto de"
"emails","matchFulfilled2","se ha cumplido para"
"emails","matchFulfilledCustom","fue procesada y completada por DonateWell."
"emails","matchFulfilledSubject","Pago de contrapartida realizado"
"emails","matchRejctedSubject","Solicitud de Coincidencia Rechazada"
"emails","matchRejctedSubject","Solicitud de contrapartida rechazada"
"emails","matchRejected1","Su solicitud de contrapartida por $"
"emails","matchRejected2","para"
"emails","matchRejected3","ha sido rechazada"
"emails","matchRejected3","ha sido rechazada"
"emails","maxParticipants1","¡Bien hecho! Su proyecto de voluntariado"
"emails","maxParticipants1","¡Listo! Su proyecto voluntario, "
"emails","maxParticipants2",", a partir del "
"emails","maxParticipants3","tiene una asignación que ha alcanzado el número máximo de voluntarios. Por favor asegúrese de comunicarse con sus voluntarios sobre los detalles del proyecto."
"emails","name","Nombre:"
"emails","notifyCoordinator","Coordinador del proyecto para"
"emails","notifyCoordinator1","Gracias por coordinar el proyecto de voluntariado:"
"emails","notifyCoordinator2",".  Por favor, inicie sesión en el portal del empleado acceder a las herramientas del coordinador de proyecto para este proyecto."
"emails","notifyCoordinator3","Enlace al portal del empleado:"
"emails","notifyReviewer","Revisión asignada"
"emails","notifyReviewer1","Se le ha asignado revisar la siguiente solicitud de la"
"emails","notifyReviewer2","subvención:"
"emails","notifyReviewer3","Por favor ingrese al portal usando el enlace de abajo para ver todas las aplicaciones asignadas a usted para su revisión."
"emails","notifyReviewer4","Por favor, revise esta solicitud "
"emails","on","el"
"emails","onHoldRequest1","Su solicitud, "
"emails","onHoldRequest2",", ha sido puesto en espera en el proceso de decisión para la "
"emails","onHoldRequest3","subvención. Nosotros le contactaremos con más información pronto."
"emails","organization","Organización:"
"emails","password","Contraseña:"
"emails","portal","portal"
"emails","progressDue1","Tiene un informe de progreso pendiente para"
"emails","progressDue2","Por favor planifique completar y enviar su informe de progreso antes de"
"emails","progressDueSubject","Informe de progreso para"
"emails","progressPastDue1","Nuestros registros indican que su informe de progreso para"
"emails","progressPastDue2","con fecha tope de"
"emails","progressPastDue3","tiene retraso. Estamos ansiosos de escuchar sobre el éxito de tu proyecto/programa. Por favor, envíe su informe de progreso lo más pronto posible."
"emails","progressPastDueSubject","Informe de progreso con fecha vencida"
"emails","progressRptSubmitted","Informe de progreso recibido"
"emails","progressRptSubmitted1","Recibimos su informe de progreso, enviado"
"emails","progressRptSubmitted2","informando sobre su subvención adjudicada en"
"emails","progressRptSubmitted3","programa. Gracias por enviarnos esta información a tiempo."
"emails","projectApproved","Proyecto sugerido aprobado"
"emails","projectApproved1","¡Su proyecto de voluntariado,"
"emails","projectApproved2","ha sido aprobado y está abierto para que se inscriban voluntarios! Por favor vaya a la"
"emails","projectApproved3","para agregar sus asignaciones, invitar voluntarios y más. También puede utilizar esta página para rastrear a sus voluntarios, monitorear las listas de espera y escribir horas para los voluntarios después del evento."
"emails","projectDate","Fecha de inicio del proyecto"
"emails","projectDate","Fecha del proyecto"
"emails","projectDeclined","Proyecto sugerido rechazado"
"emails","projectDeclined1","Lamentamos informarle que su proyecto, "
"emails","projectDeclined2",", no ha sido aprobado. Recibirá detalles adicional por parte del administrador del programa con respecto a las razones del rechazo. Gracias por su interés y le animamos a continuar usando el sitio web de empleados voluntarios para hacer más sugerencias de proyectos en el futuro."
"emails","projectFull","¡Un proyecto que usted coordina está lleno!"
"emails","projectStarting","Un proyecto que usted coordina comenzará pronto..."
"emails","projectStarting1","¡Su proyecto de voluntariado,"
"emails","projectStarting2",", está programada para comenzar el "
"emails","projectStarting2","tiene previsto comenzar el"
"emails","projectStarting3",". Por favor asegúrese de haya revisado que todo lo necesario para el proyecto y que se haya comunicado con sus voluntarios."
"emails","projectStartVol","Un proyecto voluntario en el que usted será voluntario iniciará pronto…"
"emails","projectStartVol1","El proyecto voluntario, "
"emails","projectStartVol2","está programado para comenzar el"
"emails","projectStartVol3",". Por favor, asegúrese de haber revisado todo lo necesario para el proyecto y de estar preparado para el mismo."
"emails","projectWaitlist","Un proyecto que usted coordina tiene lista de espera"
"emails","projectWaitlist1","Su proyecto, "
"emails","projectWaitlist2",", a partir del "
"emails","projectWaitlist3","ha alcanzado la capacidad máxima y ahora tiene voluntarios en la lista de espera. Visite el sitio web de empleados voluntarios en"
"emails","projectWaitlist4","para gestionar los voluntarios de su proyecto. Le informaremos si se hace disponible espacio para que  pueda sacar a los voluntarios de la lista de espera."
"emails","reopenedRequest","Reabierta - necesita información adicional"
"emails","reopenedRequest1","Su solicitud, "
"emails","reopenedRequest2",", fue reabierta porque se necesita información adicional. Por favor, revise estas necesidades a continuación:"
"emails","request","Solicitud:"
"emails","requestReceived","Solicitud recibida"
"emails","requestsDue1","Este correo es para notificarle que fecha límite para la presentación de"
"emails","requestsDue2","se está acercando. Por favor, asegúrese de"
"emails","requestsDue3","y completar su solicitud antes del"
"emails","requestsDue4","Si no termina su solicitud a tiempo, se marcará como incompleta y no será considerado para una subvención."
"emails","requestsDueSubject","Se acerca la fecha tope para la solicitud"
"emails","reviewsDue","Tiene solicitudes que fueron asignadas para su revisión que están incompletas.  Por favor complete lo más pronto posible estas revisiones para que podamos tomar una decisión informada sobre el financiamiento de estas solicitudes."
"emails","reviewsDueSubject","Solicitudes asignadas para su revisión"
"emails","s_promptSearchProjects","Buscar proyectos"
"emails","sendEmployeeProjectAutoRegSubject","Añadido como voluntario para"
"emails","sendEmployeeProjectInvitationSubject","Invitación a participar en"
"emails","sendGroupAcceptanceMessageSubject","Invitación de grupo aceptada"
"emails","sendGroupInvitation1","lo ha invitado a unirse al grupo"
"emails","sendGroupInvitationSubject","Invitación a unirse"
"emails","sendGroupRequest1","ha solicitado unirse al grupo"
"emails","sendGroupRequestSubject","Solicitud para unirse"
"emails","sendGuestProjectAutoRegInvitation1","Por favor revise los detalles del proyecto a continuación y añada esta información a su calendario. ¡Esperamos trabajar con usted en nuestra comunidad! Si no puede asistir, puede"
"emails","sendGuestProjectAutoRegInvitation2","darse de baja"
"emails","sendGuestProjectAutoRegInvitation3","de este proyecto"
"emails","sendGuestProjectInvite1","Usted ha sido invitado por"
"emails","sendGuestProjectInvite2","para ser voluntario para el"
"emails","sendGuestProjectInvite3","Por favor revise los detalles del proyecto a continuación y añada esta información a su calendario. ¡Esperamos trabajar con usted en nuestra comunidad! Usted puede"
"emails","sendGuestProjectInvite4","aceptar o rechazar esta invitación aquí"
"emails","sendGuestProjectInvite5","Proyecto de voluntariado,"
"emails","sendGuestProjectInvite6","Líder(es) de proyecto"
"emails","sendGuestProjectInvite7","Fecha de inicio del proyecto"
"emails","sendGuestProjectInvite8","Proyecto de voluntariado,"
"emails","sendGuestProjectInviteSubject","Invitación a participar en"
"emails","sendProjectCancellationMessage1","ha sido cancelado por el coordinador."
"emails","sendProjectCancellationMessageSubject","ha sido cancelado"
"emails","sendProjectRegistrationMessage1","¡Su registro ha sido confirmado! Por favor revise abajo y verifique nuevamente dentro de la"
"emails","sendProjectRegistrationMessageSubject","Registro confirmado"
"emails","sendProjectSpaceAvailableSubject","Registrar voluntarios que están en lista de espera"
"emails","sendProjectWaitlistMessage1","Gracias por registrarse para participar en"
"emails","sendProjectWaitlistMessage2","Lamentablemente, ya no hay espacio disponible. Sin embargo, ha sido colocado en una lista de espera. Si se libera una plaza, usted será añadido al proyecto por el líder del proyecto. Si se le confirma como participante, recibirá luego un correo electrónico. Gracias por ayudar a marcar la diferencia en su comunidad local."
"emails","sendProjectWaitlistRemoval1","¡Se liberó una plaza en el"
"emails","sendProjectWaitlistRemoval2","proyecto de voluntariado y usted ha sido elegido de entre la lista de espera! ¡Por favor vea los detalles del proyecto a continuación y visite el"
"emails","sendProjectWaitlistRemoval3","sitio de voluntarios"
"emails","sendProjectWaitlistRemoval4","para obtener más información acerca de su proyecto de voluntariado!"
"emails","sendProjectWaitlistRemoval5","Programa"
"emails","signUpHere","Regístrese aquí"
"emails","sincerely","Atentamente,"
"emails","spaceAvailabe","Un proyecto que usted coordina tiene plazas disponibles"
"emails","spaceAvailable1","¡Gracias por tomarse el tiempo de coordinar el"
"emails","spaceAvailable2","proyecto! Se han liberado plazas en su proyecto debido a la cancelación de uno de sus voluntarios. Tiene voluntarios en una lista de espera para su proyecto, así que por favor visite el sitio web de empleados voluntarios en"
"emails","spaceAvailable3","para gestionar sus voluntarios."
"emails","submittedLOI1","Gracias por enviar su carta de intención (CDI) para la"
"emails","submittedLOI2","subvención. Revisaremos su solicitud y le notificaremos el estatus. Siéntase en libertad de contactarnos en cualquier momento si tiene preguntas."
"emails","submittedRequest1","Gracias por enviar una solicitud al"
"emails","submittedRequest2","por la"
"emails","submittedRequest3","subvención. Revisaremos su solicitud y le notificaremos el estatus. Siéntase en libertad de contactarnos en cualquier momento si tiene preguntas."
"emails","suggestedProject1","¡Gracias por sugerir un nuevo proyecto de voluntariado! Su proyecto"
"emails","suggestedProject1","¡Gracias por sugerir un nuevo Proyecto Voluntario! Su proyecto, "
"emails","suggestedProject2",", está esperando para ser revisado y aprobado. Le notificaremos pronto acerca de su estado."
"emails","suggestedProject2","espera revisión y aprobación.  Le notificaremos el estatus pronto."
"emails","suggestedProjectRecievedSubject","Sugerencia de proyecto recibida"
"emails","thankCoordinator","Gracias por la coordinación del proyecto de voluntariado"
"emails","thankCoordinator1","¡Gracias por tomarse el tiempo de coordinar el"
"emails","thankCoordinator2","proyecto! Recuerde visitar la página web de empleados voluntarios de empleados donde puede registrar sus horas de trabajo voluntario y registrar horas para los otros voluntarios que participaron en el proyecto."
"emails","thanksAgain","Gracias de nuevo"
"emails","thankYou","Gracias"
"emails","thankYou1","Gracias,"
"emails","thankYouCoord","¡Gracias por coordinar!"
"emails","thankYouForMakingADifference","¡Gracias por marcar una diferencia en nuestra comunidad!"
"emails","thankYouForSubmitting","Gracias por enviar una solicitud de Beca Voluntaria en nombre de"
"emails","thankYouForSubmitting","Gracias por enviar una solicitud de subvención de voluntariado en nombre de"
"emails","thankYouForSubmittingBoard","Gracias por enviar una solicitud de Beca a la Junta en nombre de"
"emails","thankYouForSubmittingBoard","Gracias por enviar una solicitud de subvención de la junta en nombre de"
"emails","time","Tiempo."
"emails","toProjectPage","Ir a la página del proyecto"
"emails","verify_email_body","Gracias por registrarse, por favor haga clic en el enlace de abajo para verificar su dirección de correo electrónico."
"emails","verify_email_subject","Bienvenido a Good Done Great"
"emails","verify_email_subject","Bienvenido a"
"emails","viewRequest","Ver solicitud"
"emails","volEligibility1","Usted puede ser elegible para solicitar una subvención de voluntario con base en su tiempo como voluntario con"
"emails","volEligibility2","Puede solicitar la subvención en el portal del empleado en cualquier momento antes del final del año fiscal."
"emails","volEligibility3","¡Gracias por su valioso tiempo prestando servicio a nuestra comunidad!"
"emails","volEligibilitySub","Elegibilidad de subvención de voluntario"
"emails","volGrantAccepted1","Gracias por presentar una"
"emails","volGrantAccepted2","Solicitud de beca en nombre de"
"emails","volGrantAccepted2","solicitud de concesión a nombre de"
"emails","volGrantAccepted3","por la cantidad de"
"emails","volGrantAccepted4","Hemos aprobado su"
"emails","volGrantAccepted5","Solicitud de beca y se desembolsarán los fondos a"
"emails","volGrantAccepted5","solicitud de subvención, y desembolsaremos los fondos a"
"emails","volGrantAccepted6","en su nombre. ¡Gracias por su valioso tiempo prestando servicio a nuestra comunidad!"
"emails","volHoursConfirm1","Gracias por ofrecerse como voluntario para"
"emails","volHoursConfirm1","Gracias por ser voluntario en"
"emails","volHoursConfirm2","por"
"emails","volHoursConfirm3","horas.  Valoramos su esfuerzo y compromiso con nuestra comunidad."
"emails","volHoursConfirmSub","Gracias por ofrecerse como voluntario"
"emails","volunteerFor","voluntario para"
"emails","volunteerGrantDeclined1","Estimado"
"emails","volunteerGrantDeclined2","Gracias por presentar una"
"emails","volunteerGrantDeclined3","solicitud de concesión a nombre de"
"emails","volunteerGrantDeclined4","por la cantidad de"
"emails","volunteerGrantDeclined5","Lamentablemente, hemos rechazado su"
"emails","volunteerGrantDeclined6","solicitud de concesión"
"emails","volunteerGrantDeclined7","Si tiene más preguntas, póngase en contacto con nosotros. ¡Gracias por su valioso tiempo prestando servicio a nuestra comunidad!"
"emails","volunteerGrantDeclined8","Gracias,"
"emails","volunteerGrantDeclinedSubject","Subvención rechazada"
"emails","volunteerProject","Proyecto de Voluntariado"
"emails","welcome","Bienvenido"
"emails","welcomeApplicant1","Una nueva cuenta ha sido creada para usted en"
"emails","welcomeApplicant2","el portal de solicitud de becas. Para ingresar, por favor, visite"
"emails","welcomeApplicant3","E ingrese utilizando su dirección de correo electrónico."
"emails","welcomeApplicant4","Su contraseña temporaria es:"
"emails","welcomeReviewer","Bienvenido corrector"
"emails","yourRequestTo","Su solicitud para"
"feeds","feedError","Error al cargar la fuente de información."
"feeds","feedPromptGroup","Comparte tus pensamientos ..."
"feeds","feedPromptNonprofit","Comparte tus pensamientos ..."
"feeds","feedPromptProgram","Comparte tus pensamientos ..."
"feeds","feedPromptProject","Comparte tus pensamientos ..."
"feeds","filterAll","Todo"
"feeds","filterCharity","Caridades"
"feeds","filterCompany","Empresas"
"feeds","filterCoworker","Compañeros de trabajo"
"feeds","filterGroup","Grupos"
"feeds","filterProgram","Programas"
"feeds","filterProject","Proyectos"
"feeds","ifYouWouldLikeToSearch","Si desea buscar otra organización o compañeros de trabajo para seguir, por favor haga clic en el botón correspondiente a continuación para empezar."
"feeds","ifYouWouldLikeToSearch","Si desea buscar otras organizaciones o compañeros de trabajo para seguir, por favor haga clic en el botón correspondiente a continuación para empezar."
"feeds","me","Yo"
"feeds","msgErrUnableToFollow","Lo sentimos, no se puede seguir a {0} en este momento"
"feeds","msgErrUnableToUnFollow","Lo sentimos, pero no puede dejar de seguir a {0} en este momento"
"feeds","msgNotFollowingAnyone","Aquí es donde puede ver  la lista de las personas, organizaciones, programas, proyectos y grupos que está siguiendo. Elija una de las opciones siguientes para encontrar una organización o compañero de trabajo, a continuación, haga clic en Seguir. Visite la página de voluntarios para seguir un proyecto de voluntariado , o en la página Donar para seguir un programa de donación. Cree un grupo en su página de perfil de usuario para que usted y otros miembros del grupo puedan seguir la actividad de ese grupo."
"feeds","msgNotFollowingAnyone","Aquí es donde verá una lista de gente, organizaciones, programas, proyectos y grupos que usted está siguiendo. Elija una de las opciones que se encuentran a continuación para encontrar una organización o un colega, luego haga clic en Seguir. Visite la página de voluntarios para seguir un proyecto de voluntariado, o en la página de Donar para seguir un programa de donaciones. Cree un grupo en su página de perfil de usuario para que usted y otros miembros del grupo puedan seguir la actividad de dicho grupo. "
"feeds","msgYouAreNoLongerFollowing","Ya no está siguiendo a {0}"
"feeds","msgYouAreNowFollowing","Ahora sigue a{0}"
"feeds","postYourComment","Publique su comentario"
"feeds","shareThoughts","Comparte tus pensamientos ..."
"goals","createNew","Crear un nuevo objetivo"
"goals","currentGoals","Objetivos actuales"
"goals","goal","Meta"
"goals","in","en"
"goals","iWantTo","Quiero"
"goals","progress","Progreso"
"group","acceptInvite","Acepte la invitación"
"group","acceptRequest","Aceptar solicitud"
"group","addAdmin","Añadir un estado de administrador"
"group","allCoworkers","Todos los compañeros de trabajo"
"group","allGroups","Todos los Grupos"
"group","approve","Aprobar"
"group","cancelInvitation","Cancelar invitación"
"group","canNotDeleteAdmin","No se puede eliminar un administrador único."
"group","changedStatus","Estatus del grupo cambiado a:"
"group","changeMemberStatus","Cambiar estado"
"group","createGroup","Crear grupo"
"group","createGroup","Crear grupo"
"group","createGroup","Crear grupo"
"group","declineInvite","Declinar invitación"
"group","deleteGroup","Eliminar Grupo"
"group","editMember","Editar miembros del grupo"
"group","employeeRemoved","El empleado fue eliminado del grupo."
"group","getYourGroupInvolved","¡Calcule su grupo involucrado!"
"group","groupAdmin","Administrador del Grupo:"
"group","groupDescription","Descripción del Grupo"
"group","groupMessage"," Mensaje del grupo"
"group","groupName","Nombre del grupo"
"group","groupNoGivingMessage","Su grupo no ha estado muy activo todavía. A medida que se hacen donaciones y voluntariado, usted podrá ver la información de resumen para cada programa que apoya."
"group","groupsNotExist","No existen Grupos"
"group","groupStatus","Estatus del grupo"
"group","invitations","Invitaciones"
"group","invite","Invitar"
"group","inviteCanceled","La invitación fue cancelada."
"group","inviteGroupMembers","Invitar a miembros del grupo"
"group","inviteMembers","Invitar a los miembros"
"group","leaveGroup","Abandonar el grupo"
"group","member","Miembro"
"group","memberInfo","Información del Miembro"
"group","members","Miembros"
"group","membershipRequests","Solicitudes de afiliación"
"group","messageBeingSent","Su mensaje se está enviando."
"group","messageMessage","Mensaje"
"group","messageSend","Enviar Mensaje"
"group","messageSubject","Asunto"
"group","myGroups","Mis grupos"
"group","newGroup","Nuevo grupo"
"group","newGroupMessage","Mensaje del nuevo grupo"
"group","noCoworkers","Su búsqueda ha devuelto 0 resultados."
"group","noInvitations","Actualmente no hay invitaciones."
"group","noPending","Seleccione buscar compañeros de trabajo ""para buscar compañeros de trabajo para invitar a su grupo."""
"group","noRequests","Actualmente no hay solicitudes de afiliación."
"group","participating","Participar"
"group","pendingInvitations","Invitaciones del proyecto"
"group","percentParticipating","Porcentaje de participación"
