area,key,pt-BR
volunteer,areYouSureSignUp,Tem certeza de que deseja se registrar em
volunteer,assignment,Atribuição
volunteer,assignments,Atribuições
volunteer,attachWaiver,Anexe um formulário de renúncia ou autorização
volunteer,attributes,Atributos
volunteer,availableGrantAmount,Quantia Total de Subsídio Disponível
volunteer,birthdate,Data de Nascimento
volunteer,cancelProject,Cancelar Projeto
volunteer,cancelProjectRegistration,Cancelar Registro do Projeto
volunteer,cause,Causa
volunteer,causes,Causas
volunteer,checkBoxes,Marque as Caixas
volunteer,creatNewEntry,Criar Nova Entrada
volunteer,coordinatorName,Nome do Coordenador
volunteer,coordinators,Coordenadores
volunteer,createdAt,Criado Em
volunteer,createProject,Criar Projeto
common,dateVolunteered,Data como Voluntário
volunteer,dateHoursVolunteered,Data e Horas como Voluntário
volunteer,defaultAssignment,Atribuição Padrão
volunteer,denotesRequiredResponses,denota respostas obrigatórias.
volunteer,description,Descrição
volunteer,dontWorry,"""Não se preocupe, estamos trabalhando nisso. Confira novamente em breve."""
volunteer,editHoursVolunteered,Editar Horas
volunteer,editHoursVolunteeredDesc,"""Por favor, insira suas novas horas de"""
volunteer,email,E-mail
volunteer,eligibleNonprofits,Suas Organizações Elegíveis
volunteer,endDateAndTime,Data e Hora Finais
volunteer,eventInformation,Informações do Evento
volunteer,featuredProjects,Projetos em Destaque
volunteer,filter,Filtros
volunteer,firstName,Primeiro Nome
volunteer,fullProjectDesctiption,Descrição Completa do Projeto
volunteer,groupCreate,Criar Grupo
volunteer,groupDescription,Descrição do Grupo
volunteer,groupName,Nome do Grupo
volunteer,groupNewGroup,Novo Grupo
volunteer,groupNewGroupDialog,Salvar lista de participantes como novo grupo
volunteer,groupSaveGroup,Salvar como Grupo
volunteer,guest,Convidado
volunteer,invited,Convidado
volunteer,invitedNotInvited,Não Convidado
volunteer,inviteSend,Enviar Convites
volunteer,inviteVolunteers,Convidar Voluntários
volunteer,inviteUninvite,Cancelar Convite
volunteer,joinWaitlist,Ingressar na Lista de Espera
volunteer,help,Ajude!
volunteer,hoursVolunteered,Horas como Voluntário
volunteer,lastName,Sobrenome
volunteer,learnMore,Saiba Mais
volunteer,leaveAll,Deixar Todos
volunteer,leaveAssignment,Deixar Atribuição
volunteer,leaveWaitlist,Deixar Lista de Espera
volunteer,loadingRegistrationInformation,Carregando Informações de Registro...
volunteer,logPersonalHours,Registrar Horas Pessoais
volunteer,logHours,Registrar Horas
volunteer,maxParticipants,Máx. de Participantes
volunteer,messagePlaceholder,Era uma vez...
volunteer,messageVolunteers,Enviar Mensagem aos Voluntários
volunteer,minAge,Idade Mínima de
volunteer,more,Mais
volunteer,myGivingHistory,Meu Histórico de Doações
volunteer,myVolunteerism,Meu Voluntarismo
volunteer,myVolunteering,Meu Voluntariado
volunteer,nameOfProject,Nome do projeto voluntário
common,suggestProject,Sugerir Projeto
volunteer,newProjectMessage,Nova Mensagem do Projeto
volunteer,newQuestion,Nova Pergunta
volunteer,noAgeRestriction,Sem Restrição de Idade
volunteer,noFamOrFriends,Não Permitir Amigos e Familiares
volunteer,noFeaturedProjects,Nenhum Projeto em Destaque Ainda
volunteer,noFeaturedProjectsDesc,"""Não se preocupe, estamos trabalhando nisso.  Confira novamente em breve!"""
volunteer,noMaxVolunteers,Sem Máx. de Voluntários
volunteer,noQuestionnaireResponse,Este usuário não enviou respostas para o questionário
volunteer,nonprofit,Organização
volunteer,nonprofitFocus,Foco da Organização
volunteer,nonprofitSelection,Seleção de Organização
volunteer,noProjectHours,Nenhuma Hora de Projeto Encontrada
volunteer,noRegister,Não requer registro
volunteer,ongoingProject,Contínuo
volunteer,openings,Vagas
volunteer,options,Opções
volunteer,optionalSurvey,Preencher uma pesquisa opcional?
volunteer,otherSettings,Outras Configurações
volunteer,partners,Parceiros
volunteer,postYourComment,Publique Seu Comentário
volunteer,pickList,Lista de Escolhas
volunteer,pickListWithText,Lista de Escolhas com Texto
volunteer,pleaseFillOutQuestionnaire,"""Por favor, preencha este questionário para concluir o processo de registro."""
volunteer,privacy,Privacidade
volunteer,privacyInviteOnly,Só Para Convidados
volunteer,privacyPrivate,Privado
volunteer,privacyPublic,Público
volunteer,program,Programa
volunteer,project,Projeto
volunteer,projects,Projetos
volunteer,projectName,Nome do Projeto
volunteer,projectImage,Imagem do Projeto
volunteer,projectInfo,Info. do Projeto
volunteer,projectDateAndLocation,Data e Local do Projeto
volunteer,projectDescription,Descrição do Projeto
volunteer,projectIsOngoing,O Projeto é Contínuo
volunteer,projectsNearMe,Projetos Perto de Mim
volunteer,questionnaire,Questionário
volunteer,questionText,Texto da Pergunta
volunteer,questionType,Tipo de Pergunta
volunteer,recommendedDimensions,Dimensões recomendadas: 850 px x 315 px
volunteer,rejectInvitation,Recusar Convite
volunteer,registered,Registrado
volunteer,registrations,Registros
volunteer,responses,Respostas
volunteer,resultsFound,Resultados Encontrados
volunteer,registeredBy,Registrado por
volunteer,selectAdditionalCoordinator,Selecionar Coordenador Adicional
volunteer,selectAssignmentToLeave,Selecione a(s) Atribuição(ões) que deseja deixar
volunteer,selectNewCause,Selecionar Nova Causa
volunteer,selectNewSkill,Selecionar Nova Competência
volunteer,selectProgram,Selecionar Programa
volunteer,signedUp,Registrado
volunteer,signUpFor,Registrar-me Em
volunteer,signUpDeadline,Prazo de Registro
volunteer,signUpQuestion,Pergunta de Registro
volunteer,skills,Competências
volunteer,shirtSize,Tamanho da Camisa
volunteer,selectAVolunteerProgram,Selecione Um Programa Voluntário
volunteer,selectYourAssignment,Selecione sua atribuição
volunteer,sponsorOrganization,Organização Patrocinadora/Parceira
volunteer,startDateAndTime,Data e Hora Iniciais
volunteer,submit,Enviar
volunteer,survey,Pesquisa
volunteer,surveyQuestion,Pergunta da Pesquisa
volunteer,tellUsAboutYourExperience,Conte-nos sobre sua experiência como voluntário(a).
volunteer,thankYouForVolunteering,Obrigado por se voluntariar junto à
volunteer,thisAssignmentIsFull,Esta atribuição está lotada. Você será adicionado à lista de espera.
volunteer,thisProjectWaiver,"""Este projeto exige renúncia. Por favor, baixe-a."""
volunteer,thereAreNoPrograms,"""No momento, não há nenhum Projeto associado a este Programa. Você tem uma ideia de Projeto? Clique em 'Novo Projeto' e compartilhe-a conosco."""
volunteer,unlimited,Ilimitado
volunteer,upload,Carregar
volunteer,volunteerGrants,Subsídios aos Voluntários
volunteer,volunteerNowTooltip,Voluntariar-me Agora
volunteer,volunteerProgram,Programa Voluntário
volunteer,waitlist,Lista de Espera
volunteer,waitlisted,Na Lista de Espera
volunteer,whatVolunteersDo,"""O que o voluntário fará, quem será atendido, etc.?"""
volunteer,willBeInvited,(será convidado para
volunteer,withinRadius,dentro de 25 milhas de
volunteer,youAreNotSignedUp,Você não se registrou neste projeto
volunteer,youHaveBeenInvited,"""Você foi convidado para participar neste projeto. Por favor, responda ao convite abaixo."""
