area,key,pt-BR
emails,declinedRequest3,", neste momento. Por favor, sinta-se à vontade para nos contatar com quaisquer dúvidas. Agradecemos pelo seu apoio à sua comunidade local."
emails,donationTY1,Agradecemos pela sua
emails,donationTY2,doação aconselhada para
emails,donationTY3,Sua contribuição torna a
emails,donationTY4,comunidade doadora mais forte
emails,donationTY5,Recibo de Doação
emails,donationTY6,Nome do Doador:
emails,donationTY7,Quantia da Doação de Caridade:
emails,donationTY8,Patrocinador de Fundo Aconselhado por Doador:
emails,donationTY9,DonateWell
emails,donationTY10,Organização Doadora Aconselhada:
emails,donationTY11,Endereço da Organização:
emails,donationTY12,Quantia de Doação Aconselhada:
emails,donationTY13,Sua doação de
emails,donationTY14,foi processada pela DonateWell e foi aconselhada para o benefício de
emails,donationTY15,A DonateWell concederá estes fundos como uma doação para
emails,donationTY16,"Por favor, consulte nossos Termos de Serviço para obter mais informações."
emails,donationTY17,"Por favor, observe que a RF exige que você retenha esta carta como um recibo para comprovar sua doação de caridade."
emails,donationTY18,"De acordo com a exigências da RF para contribuições de caridade, a DonateWell reconhece que nenhuma mercadoria, serviço ou benefícios quid pro quo (tangíveis ou intangíveis) foram fornecidos a você pela DonateWell como contrapartida da sua doação de caridade."
emails,donationTY19,Você está recebendo este e-mail de transação como um recibo da sua doação através de
emails,donationTY20,e Good Done Great.
emails,donationTY21,"Caso tenha dúvidas ou precise de assistência, visite nossa Central de Suporte."
emails,donationTY22,"Por favor, observe: esta mensagem de e-mail foi enviada a partir de um endereço exclusivo para notificações, o qual não recebe e-mails. Por favor, não responda a esta mensagem."
emails,donationTY23,"Por favor, observe que a RF exige que você retenha esta carta como um recibo para comprovar sua doação de caridade."
emails,donationTY24,Donate Well
emails,donationTY25,Data da Doação:
emails,donationTY26,EIN:46-0942102
emails,donationTY27,1127 Broadway Suite 102
emails,donationTY28,"Tacoma, WA 98402"
emails,donationTYSubject,Agradecemos Pela Sua Doação Online
emails,forgot_pwd_subject,Solicitação de Redefinição de Senha da Good Done Great
emails,forThe,para a
emails,grant,concessão
emails,grantSubmittedSubtext1,Concessão do Conselho Enviada
emails,grantSubmittedSubtext2,Concessão de Voluntariado Enviada
emails,grantAccepted,Concessão Aceita
emails,grantProgram,Programa de Concessão:
emails,hello,"Olá,"
emails,incomplete,incompleto
emails,incompleteRequest1,"Sua requisição, "
emails,incompleteRequest2,não foi concluída nem enviada pelo encerramento do
emails,incompleteRequest3,". Por favor, considere candidatar-se durante nosso próximo ciclo deste programa. Por favor, sinta-se à vontade para nos contatar a qualquer momento caso tenha dúvidas."
emails,invitationToCollaborate1,Você foi convidado(a) por {sender} para colaborar numa requisição de concessão para {npoName} para o programa de concessão {programName}.
emails,invitationToCollaborate2,"Por favor, observe que a candidatura só pode ser editada por uma pessoa de cada vez. Se mais de uma pessoa tentar editar a candidatura ao mesmo tempo, haverá o risco de perder dados."
emails,invitationToCollaborate3,Você pode ver e editar a candidatura no seguinte url:
emails,invitationToCollaborateSubject,Convite para Colaborar numa Requisição de Concessão
emails,inviteApplicant,Convite para Candidatura:
emails,inviteApplicant1,gostaria de convidá-lo(a) para candidatar-se para o programa
emails,inviteApplicant2,". Clique no link abaixo para efetuar login no nosso portal e ver o programa. Após efetuar login, comece o processo de candidatura clicando em 'Candidatar-me'. Será solicitado que você insira o código de acesso exibido abaixo para continuar o processo."
emails,inTHeAmountOf,na quantia de $
emails,justLogin,entrar
emails,leader,Líder(es)
emails,letterOfIntent1,Agradecemos por enviar uma Carta de Intenções para
emails,letterOfIntent2,para a
emails,letterOfIntentRecieved,Carta de Intenções Recebida
emails,loiDueSubject,Data Limite da LOI se Aproximando
emails,loiDue1,Este e-mail visa notificá-lo(a) de que a data limite do envio da LOI para
emails,loiDue2,"está se aproximando. Por favor, certifique-se de"
emails,loiDue3,e concluir sua LOI até
emails,loiDue4,"Caso não finalize sua LOI a tempo, ela será marcada como incompleta e não será considerada para a concessão."
emails,loiApprovedSubject,Carta de Intenções Aprovada
emails,loiSubmittedSubject,Carta de Intenções Recebida
emails,loiDeclinedSubject,Carta de Intenções Recusada
emails,login,Login:
emails,matchApproved1,Sua requisição de equivalência de $
emails,matchApproved2,para a organização
emails,matchApproved3,foi aprovada e o pagamento está agendado
emails,matchApprovedSubject,Requisição de Equivalência Aprovada
emails,matchFulfilled1,Seu pagamento de equivalência na quantia de
emails,matchFulfilled2,foi realizado para
emails,matchFulfilledSubject,Pagamento de Equivalência Realizado
emails,matchRejected1,Sua requisição de equivalência de $
emails,matchRejected2,por
emails,matchRejected3,foi recusada
emails,matchRejctedSubject,Requisição de Equivalência Recusada
emails,maxParticipants1,Muito bem! Seu projeto de voluntariado
emails,maxParticipants2,", começando em "
emails,maxParticipants3,"possui uma atribuição que atingiu o número máximo de voluntários. Por favor, certifique-se de se comunicar com seus voluntários sobre os detalhes do projeto."
emails,name,Nome:
emails,notifyCoordinator,Coordenador de Projeto para
emails,notifyCoordinator1,Agradecemos por coordenar o projeto de voluntariado:
emails,notifyCoordinator2,".  Por favor, efetue login novamente no portal do funcionário para acessar as ferramentas do coordenador de projetos para este projeto."
emails,notifyCoordinator3,Link para o portal do funcionário:
emails,notifyReviewer,Análise Atribuída
emails,notifyReviewer1,Você foi designado para analisar a seguinte candidatura para a concessão de
emails,notifyReviewer2,:
emails,notifyReviewer3,"Por favor, efetue login no portal usando o link abaixo para ver todas as candidaturas atribuídas a você para análise."
emails,on,em
emails,onHoldRequest1,"Sua requisição, "
emails,onHoldRequest2,", foi colocada em espera no processo de decisão para a concessão de"
emails,onHoldRequest3,. Entraremos em contato com maiores informações em breve.
emails,organization,Organização:
emails,portal,portal
emails,progressDueSubject,Relatório de Progresso Pendente
emails,progressDue1,Você possui um relatório de progresso com vencimento em
emails,progressDue2,"Por favor, planeje a conclusão e envio do seu relatório de progresso antes de"
emails,progressPastDueSubject,Relatório de Progresso Vencido
emails,progressPastDue1,Nossos registros indicam que seu relatório de progresso para
emails,progressPastDue2,previsto para
emails,progressPastDue3,"venceu. Estamos ansiosos para saber sobre o sucesso do seu projeto/programa. Por favor, envie seu relatório de progresso assim que possível."
emails,progressRptSubmitted,Relatório de Progresso Recebido
emails,progressRptSubmitted1,"Recebemos o seu relatório de progresso, enviado"
emails,progressRptSubmitted2,relatando sobre a concessão subsidiada no programa
emails,progressRptSubmitted3,. Agradecemos por nos enviar essas informações em tempo hábil.
emails,projectApproved,Projeto Sugerido Aprovado
emails,projectApproved1,Seu projeto de voluntariado
emails,projectApproved2,"foi aprovado e está aberto para a inscrição de voluntários! Por favor, visite"
emails,projectApproved3,"para adicionar suas atribuições, convidar voluntários e mais. Você também pode usar este site para acompanhar seus voluntários, monitorar as listas de espera e inserir os horários para os voluntários que seguem o evento."
emails,projectDate,Data de Início do Projeto
emails,projectDeclined,Projeto Sugerido Recusado
emails,projectDeclined1,"Lamentamos informá-lo(a) de que seu projeto, "
emails,projectDeclined2,", não foi aprovado. Você receberá mais detalhes do administrador do programa com relação às razões da recusa. Agradecemos pelo seu interesse e encorajamos que você continue usando o site de Voluntariado do Funcionário para fazer mais sugestões de projetos no futuro."
emails,projectFull,Um projeto que você está coordenando está cheio!
emails,projectStarting,Um projeto que você está coordenando começa em breve...
emails,projectStarting1,Seu projeto de voluntariado
emails,projectStarting2,está agendado para começar em
emails,projectStarting3,". Por favor, certifique-se de ter analisado tudo o que é necessário para o projeto e de ter se comunicado com seus voluntários."
emails,projectWaitlist,Um projeto que você está coordenando possui uma lista de espera
emails,projectWaitlist1,"Seu projeto, "
emails,projectWaitlist2,", começando em "
emails,projectWaitlist3,"atingiu a capacidade máxima e agora possui voluntários na lista de espera. Por favor, visite o site de Voluntariado do Funcionário em"
emails,projectWaitlist4,para gerenciar os voluntários do seu projeto. Nós lhe informaremos se houver disponibilidade de vagas para que você possa transferir os voluntários da lista de espera.
emails,reopenedRequest,Reaberta - Precisa de mais informações
emails,reopenedRequest1,"Sua requisição, "
emails,reopenedRequest2,", foi reaberta porque são necessárias mais informações. Por favor, analise as necessidades abaixo:"
emails,request,Requisição:
emails,requestReceived,Requisição Recebida
emails,requestsDueSubject,Data Limite da Requisição se Aproximando
emails,requestsDue1,Este e-mail visa notificá-lo(a) de que a data limite de envio da
emails,requestsDue2,"está se aproximando. Por favor, certifique-se de"
emails,requestsDue3,e concluir sua candidatura até
emails,requestsDue4,"Caso não finalize sua candidatura a tempo, ela será marcada como incompleta e não será considerada para a concessão."
emails,reviewsDueSubject,Requisições Atribuídas para Sua Análise
emails,reviewsDue,"Você possui requisições incompletas que foram atribuídas para sua análise.  Por favor, complete essas análises assim que possível para que possamos tomar decisões informadas sobre o financiamento destas requisições."
emails,s_promptSearchProjects,Buscar Projetos
emails,sendEmployeeProjectInvitationSubject,Convite para participar em
emails,sendGroupAcceptanceMessageSubject,Convite de Grupo Aceito
emails,sendGroupRequest1,solicitou participar no grupo
emails,sendGroupRequestSubject,Solicitar participação
emails,sendGroupInvitation1,convidou você para participar no grupo
emails,sendGroupInvitationSubject,Convite de participação
emails,sendGuestProjectInvite1,Você foi convidado por
emails,sendGuestProjectInvite2,para ser voluntário(a) no(a)
emails,sendGuestProjectInvite3,"Por favor, analise os dados do projeto abaixo e adicione estas informações ao seu calendário. Estamos ansiosos para trabalhar em nossa comunidade com você! Você pode"
emails,sendGuestProjectInvite4,aceitar ou recusar este convite aqui
emails,sendGuestProjectInvite5,Projeto de Voluntariado
emails,sendGuestProjectInvite6,Líder(es) do Projeto
emails,sendGuestProjectInvite7,Data de Início do Projeto
emails,sendGuestProjectInvite8,Projeto de Voluntariado
emails,sendGuestProjectInviteSubject,Convite para participar em
emails,sendGuestProjectAutoRegInvitation1,"Por favor, analise os dados do projeto abaixo e adicione estas informações ao seu calendário. Estamos ansiosos para trabalhar em nossa comunidade com você! Caso não possa comparecer, você pode"
emails,sendGuestProjectAutoRegInvitation2,cancelar a inscrição
emails,sendGuestProjectAutoRegInvitation3,neste projeto
emails,sendProjectCancellationMessageSubject,foi cancelado(a)
emails,sendProjectCancellationMessage1,foi cancelado(a) pelo coordenador.
emails,sendProjectSpaceAvailableSubject,Registrar Voluntários em Espera
emails,suggestedProjectRecievedSubject,Sugestão de Projeto Recebida
emails,sendProjectRegistrationMessage1,"Seu registro foi confirmado! Por favor, veja abaixo e confira novamente o"
emails,sendProjectRegistrationMessageSubject,Registro Confirmado
emails,sendProjectWaitlistMessage1,Agradecemos por se registrar para participar no(a)
emails,sendProjectWaitlistMessage2,"Infelizmente, não há mais vagas disponíveis. Porém, você foi colocado(a) numa lista de espera. Caso sejam disponibilizadas vagas, você será adicionado(a) ao projeto pelo líder dele. Caso você seja confirmado(a) como participante, um e-mail será enviado. Agradecemos pela ajuda em fazer a diferença em sua comunidade local."
emails,sendProjectWaitlistRemoval1,Uma vaga foi aberta no(a)
emails,sendProjectWaitlistRemoval2,"projeto de voluntariado e você foi transferido(a) da lista de espera! Por favor, veja abaixo os detalhes do projeto e visite o"
emails,sendProjectWaitlistRemoval3,Site de Voluntariado
emails,sendProjectWaitlistRemoval4,para obter mais informações sobre seu projeto de voluntariado!
emails,sendProjectWaitlistRemoval5,Programa
emails,sincerely,"Atenciosamente,"
emails,spaceAvailabe,Um projeto que você está coordenando abriu vaga(s)
emails,spaceAvailable1,Agradecemos por investir tempo na coordenação do
emails,spaceAvailable2,"projeto! Há uma vaga disponível em seu projeto devido ao cancelamento de um dos seus voluntários. Você possui voluntários numa lista de espera para o seu projeto. Por favor, visite o site de Voluntariado do Funcionário em"
emails,spaceAvailable3,para gerenciar seus voluntários.
emails,submittedLOI1,Agradecemos por enviar uma Carta de Intenções para a concessão de
emails,submittedLOI2,". Analisaremos sua requisição e o(a) notificaremos do seu status. Por favor, sinta-se à vontade para nos contatar a qualquer momento caso tenha dúvidas."
emails,submittedRequest1,Agradecemos pelo envio de uma requisição ao(à)
emails,submittedRequest2,para a concessão de
emails,submittedRequest3,". Analisaremos sua requisição e o(a) notificaremos do seu status. Por favor, sinta-se à vontade para nos contatar a qualquer momento caso tenha dúvidas."
emails,suggestedProject1,Agradecemos por sugerir um novo Projeto de Voluntariado! Seu projeto
emails,suggestedProject2,está aguardando análise e aprovação.  Nós o(a) notificaremos em breve sobre seu status.
emails,thankYou1,"Obrigado,"
emails,thankYouForMakingADifference,Agradecemos por fazer a diferença em nossa comunidade!
emails,thankYouForSubmitting,Agradecemos por enviar uma candidatura de concessão de voluntariado em nome de
emails,thankYouForSubmittingBoard,Agradecemos por enviar uma candidatura de concessão do conselho em nome de
emails,thankYouCoord,Agradecemos pela coordenação!
emails,thankCoordinator1,Agradecemos por investir tempo na coordenação do projeto
emails,thankCoordinator2,"! Por favor, lembre-se de visitar o site de Voluntariado do Funcionário, onde você pode registrar suas horas de voluntariado e as horas de outros voluntários que participaram no projeto."
emails,toProjectPage,Visite a Página do Projeto
emails,verify_email_subject,Bem-vindo(a) ao
emails,viewRequest,Ver Requisição
emails,volunteerGrantDeclined1,Olá
emails,volunteerGrantDeclined2,Agradecemos por enviar um(a)
emails,volunteerGrantDeclined3,candidatura de concessão em nome de
emails,volunteerGrantDeclined4,na quantia de
emails,volunteerGrantDeclined5,"Infelizmente, recusamos sua"
emails,volunteerGrantDeclined6,candidatura de concessão
emails,volunteerGrantDeclined7,"Caso tenha alguma dúvida, por favor, contate-nos. Agradecemos pelo seu valioso tempo atendendo nossa comunidade!"
emails,volunteerGrantDeclined8,"Obrigado,"
emails,volunteerGrantDeclinedSubject,Concessão Recusada
emails,volEligibilitySub,Elegibilidade de Concessão do Voluntariado
emails,volEligibility1,Você pode ser elegível para se candidatar para uma concessão de voluntariado com base no seu tempo de voluntariado no(a)
emails,volEligibility2,"Você pode se candidatar para concessão(ões) no portal do funcionário, a qualquer momento antes do final do ano fiscal."
emails,volEligibility3,Agradecemos pelo seu valioso tempo atendendo nossa comunidade!
emails,volGrantAccepted1,Agradecemos por enviar um(a)
emails,volGrantAccepted2,candidatura de concessão em nome de
emails,volGrantAccepted3,na quantia de
emails,volGrantAccepted4,Nós aprovamos sua
emails,volGrantAccepted5,candidatura de concessão e despenderemos os fundos para
emails,volGrantAccepted6,em seu nome. Agradecemos pelo seu valioso tempo atendendo nossa comunidade!
emails,volHoursConfirmSub,Agradecemos por Voluntariar-se
emails,volHoursConfirm1,Agradecemos por voluntariar-se para
emails,volHoursConfirm2,por
emails,volHoursConfirm3,horas.  Valorizamos o seu intenso trabalho e compromisso com nossa comunidade.
emails,yourRequestTo,Sua requisição para
emails,accountCreated,Foi criada uma conta para você avaliar pedidos de subvenção.
emails,accountCreated2,Clique no link abaixo para logar.
emails,addedBy,Você foi adicionado por
emails,applicant,Pedido(s):
emails,assignment,Atribuição
emails,clickToLearn,Clique para mais informações
emails,donationTY26,Matrícula: 46-0942102
emails,employeeApplicant,Pedidos(s) de Funcionário(s):
emails,invitationToParticipate1,Você foi convidado para participar de
emails,invitationToParticipateSubject,Convite para participar de
emails,inviteApplicant2,"programa. Clique no link abaixo para logar em nosso portal e visualizar o programa. Depois de logado, inicie o processo de pedido clicando em “Inscrever-se”."
emails,inviteApplicant3,Será solicitado que você digite o código de acesso abaixo para continuar o processo.
emails,inviteApplicant4,"gostaria de convidá-lo a pedir uma subvenção. Por favor, acesse o portal usando o link abaixo e navegue por nossos programas disponíveis."
emails,inviteApplicantCustom,''
emails,location,Localização
emails,loginOnly,Acessar
emails,loginToLearnMore,Faça login no portal do funcionário para outras informações sobre esta empolgante oportunidade
emails,matchRejctedSubject,Solicitação de Correspondência Recusada
emails,matchRejected3,foi recusado
emails,maxParticipants1,"Muito bem! Seu projeto voluntário,"
emails,notifyReviewer4,"Por favor, avalie este pedido de"
emails,password,Senha:
emails,projectStarting2,", está agendado para começar em"
emails,projectStartVol,Um projeto voluntário para o qual você está se voluntariando vai começar em breve...
emails,projectStartVol1,"O projeto voluntário,"
emails,projectStartVol2,está agendado para começar em
emails,projectStartVol3,. Certifique-se de haver avaliado todo o necessário para o projeto e que você está preparado(a).
emails,sendEmployeeProjectAutoRegSubject,Adicionado como voluntário para
emails,suggestedProject1,"Obrigado por sugerir um novo Projeto Voluntário! Seu projeto,"
emails,suggestedProject2,", está aguardando avaliação e aprovação.  Você será notificado de sua situação em breve."
emails,thankYouForSubmitting,Obrigado por enviar um pedido de Subvenção Voluntária em nome de
emails,thankYouForSubmittingBoard,Obrigado por enviar um pedido de Subvenção de Diretoria em nome de
emails,time,Hora
emails,volGrantAccepted2,Conceder subvenção em nome de
emails,volGrantAccepted5,Pedido de subvenção e fundos serão desembolsos para
emails,volHoursConfirm1,Obrigado por ser voluntário no
emails,welcome,Bem-vindo
emails,welcomeApplicant1,Uma nova conta foi criada para você no
emails,welcomeApplicant2,"portal de pedido de subvenção. Para acessar, visite"
emails,welcomeApplicant3,E faça login usando seu endereço de e-mail.
emails,welcomeApplicant4,Sua senha temporária é:
emails,welcomeReviewer,"Bem-vindo, Avaliador"
feeds,ifYouWouldLikeToSearch,"""Caso queira procurar por outras organizações ou colegas de trabalho para seguir, por favor, clique no botão correspondente abaixo para começar."""
feeds,shareThoughts,Compartilhe suas ideias...
feeds,feedPromptGroup,Compartilhe suas ideias...
feeds,feedPromptNonprofit,Compartilhe suas ideias...
feeds,feedPromptProgram,Compartilhe suas ideias...
feeds,feedPromptProject,Compartilhe suas ideias...
feeds,filterAll,Todos(as) os(as)
feeds,filterCompany,Empresas
feeds,filterCoworker,Colegas de Trabalho
feeds,filterCharity,Instituições de Caridade
feeds,filterProgram,Programas
feeds,filterProject,Projetos
feeds,filterGroup,Grupos
feeds,me,Eu
feeds,msgYouAreNoLongerFollowing,Você não está mais seguindo {0}
feeds,msgYouAreNowFollowing,Você agora está seguindo {0}
feeds,msgErrUnableToFollow,"""Desculpe, não foi possível seguir {0} neste momento"""
feeds,msgErrUnableToUnFollow,"""Desculpe, não foi possível deixar de seguir {0} neste momento"""
feeds,msgNotFollowingAnyone,"""Aqui você verá uma lista de pessoas, organizações, programas, projetos e grupos que você está seguindo.  Escolha uma das opções abaixo para encontrar uma organização ou colega de trabalho e, então, clique em Seguir.  Visite a página de voluntariado para seguir um projeto voluntário ou a página de doações para seguir um programa de doações.  Crie um grupo na página do seu perfil de usuário e outros membros do grupo poderão acompanhar as atividades dele."""
feeds,postYourComment,Publicar seu comentário
feeds,ifYouWouldLikeToSearch,"Caso queira pesquisar outras organizações e colegas de trabalho para seguir, por favor, clique abaixo no botão adequado para começar."
feeds,feedError,Erro ao carregar feed.
feeds,msgNotFollowingAnyone,"Aqui é onde você verá uma lista das pessoas, organizações, programas, projetos e grupos que você está seguindo.  Escolha uma das opções abaixo para encontrar uma organização ou um colega de trabalho e, em seguida, clique em Seguir.  Visite a página de voluntariado para seguir um projeto voluntário, ou a página Doar para seguir um programa de doação.  Crie um grupo na sua página de perfil de usuário para que você e outros membros do grupo possam acompanhar as atividades do grupo."
goals,createNew,Criar uma nova meta
goals,iWantTo,Eu quero
goals,in,em
goals,progress,Progresso
goals,currentGoals,Metas Atuais
goals,goal,Meta
group,acceptInvite,Aceitar Convite
group,allCoworkers,Todos os Colegas de Trabalho
group,allGroups,Todos os Grupos
group,approve,Aprovar
group,cancelInvitation,Cancelar Convite
group,createGroup,Criar Grupo
group,declineInvite,Recusar Convite
group,groupAdmin,Administrador do Grupo:
group,groupDescription,Descrição do Grupo
group,groupMessage,Mensagem do Grupo
group,groupName,Nome do Grupo
group,groupsNotExist,Grupos não existem
group,invitations,Convites
group,invite,Convidar
group,inviteGroupMembers,Convidar Membros do Grupo
group,inviteMembers,Convidar Membros
group,leaveGroup,Sair do Grupo
group,members,Membros
group,membershipRequests,Solicitação de Participação
group,messageMessage,Mensagem
group,messageSend,Enviar Mensagem
group,messageSubject,Assunto
group,myGroups,Meus Grupos
group,newGroup,Novo Grupo
group,newGroupMessage,Nova Mensagem de Grupo
group,noCoworkers,Sua busca retornou 0 resultado.
group,noInvitations,Não há convites no momento.
group,noPending,"""Selecione Encontrar Colegas de Trabalho para procurar por colegas e convidá-los para o seu grupo."""
group,participating,Participando
group,noRequests,Não há solicitações de participação no momento.
group,pendingInvitations,Rascunhos de Convites
group,reject,Recusar
group,requestInvitation,Solicitar Convite
group,sendInvitations,Enviar Convites
group,getYourGroupInvolved,Envolva Seu Grupo!
group,groupNoGivingMessage,"""Seu grupo não tem estado muito ativo no momento.  Conforme fizerem doações e se voluntariarem, você poderá ver um sumário de informações para cada programa que apoiarem."""
group,changedStatus,Status do Grupo Alterado para :
group,createGroup,Criar Grupo
group,groupStatus,Status do Grupo
group,set,Definir
group,acceptRequest,Aceitar solicitação
group,addAdmin,Adicionar Status de Administrador
group,changeMemberStatus,Alterar Status
group,createGroup,Criar Grupo
group,editMember,Editar Integrante do Grupo
group,member,Integrante
group,memberInfo,Informações do Integrante
group,percentParticipating,Percentual de Participação
group,removeAdmin,Remover o Status de Administrador
group,sendInvitation,Enviar Convite
home,search,Procurar
images,addAPhoto,Adicione uma Foto
images,addPhoto,Adicionar Foto
images,chooseAPhoto,Escolha uma Foto
images,chooseADifferentPhoto,Escolha uma Foto Diferente
images,cropPhoto,Recortar
images,deletePhoto,Excluir Foto
images,enterATitleForThisImage,Insira um título para esta imagem
images,loadingPhoto,Carregando Foto...
images,rotatePhoto,Girar
impact,noGivingTitle,Acompanhe seu impacto!
impact,noGivingMessage,"""Quer doe dinheiro, quer se voluntarie para ajudar uma organização, você causará um impacto.  Conforme você continuar retribuindo em sua comunidade, nós o ajudaremos a acompanhar sua contribuição pessoal."""
impact,noGivingGetStartedMessage,Comece a causar impacto!
impact,noGroupGivingTitle,Doações em Grupo!
impact,noGroupGivingMessage,"""Ao se reunir com outras pessoas, você pode causar um impacto ainda maior com as suas doações.  No momento, você não pertence a nenhum grupo que esteja doando ativamente.  Depois de ingressar num grupo, você poderá ver o desempenho do seu grupo no ano passado, neste ano e durante a vida inteira do grupo."""
impact,noGroupGivingLastYearMessage,"""Desculpe, você não possui informações de doações em grupo no ano passado"""
impact,yourTotalImpact,Seu Impacto Total
impact,lifetime,Vitalício
impact,lastYear,Ano Passado
impact,noGivingLastYearMessage,"""Desculpe, você não possui informações de doações no ano passado"""
language,chinese,Chinês
language,dutch,Holandês
language,english,Inglês
language,french,Francês
language,german,Alemão
language,italian,Italiano
language,portuguese,Português
language,spanish,Espanhol
language,englishCA,Inglês (Canadá)
language,englishUK,Inglês (Reino Unido)
language,frenchCA,Francês (Canadá)
manage,2013,2013
manage,2014,2014
manage,2015,2015
manage,approved,Aprovado
manage,awarded,Premiado
manage,awards,Prêmios
manage,clickToUploadAgreement,Clique aqui para enviar o Contrato
manage,congratsMessage,Parabéns!  Você foi Premiado com um
manage,congratsMessage2, Subsídio!
manage,congratulationsString,"""Parabéns pelo seu Prêmio!  Para que o pagamento seja emitido, você deve primeiro baixar e preencher o Contrato de Subsídio"""
manage,date,Data
manage,decided,Decidido
manage,draft,Rascunho
manage,grant,Subsídio
manage,grantProgram,Programa de Subsídio
manage,grantAgreement,Já baixou e preencheu seu contrato?  Carregue-o aqui para enviar:
manage,program,Programa
manage,incomplete,Incompleto
manage,inReview,Em Análise
manage,loi,LOI
manage,loiDeclined,LOI Rejeitada
manage,loiSubmitted,LOI Enviada
manage,nonprofit,Organização
manage,organization,Organização
manage,progressMessage,Você tem um Relatório de Progresso futuro com vencimento em
manage,reopened,Reaberto
manage,requests,Solicitações
manage,sponsor,Patrocinador
manage,startReport,Iniciar Relatório
manage,status,Status
manage,submit,Enviar
manage,thisYear,Este Ano
manage,type,Tipo
manage,volunteer,Voluntário
manage,2016,2016
manage,2017,2017
manage,2018,2018
manage,2019,2019
manage,abandoned,Abandonado(a)
manage,accept,Aceitar
manage,acceptAward,Aceitar Subsídio
manage,agreementText,"Eu li e concordo com o documento acima, e confirmo que as informações da minha organização estão corretas."
manage,agreementText2,Eu confirmo que as informações da minha organização estão corretas.
manage,awardAgreement,Contrato de Subsídio
manage,awardDate,Data do Subsídio
manage,awardInformation,Informações de Subsídio
manage,awardMessage,Parabéns! Você foi Subsidiado com
manage,budgets,Orçamentos
manage,clickToUploadAgreement,Enviar Contrato Preenchido
manage,congratsMessageAward,Parabéns pelo seu subsídio de
manage,congratsString,Parabéns pelo seu subsídio!
manage,congratulationsString,"Para que o pagamento seja emitido, por favor, leia e reconheça o contrato, além de confirmar abaixo as informações da sua organização.  Pode haver outros requisitos que lhe serão comunicados diretamente."
manage,congratulationsString2,"Para que o pagamento seja emitido, por favor, confirme abaixo as informações da sua organização.   Pode haver outros requisitos que lhe serão comunicados diretamente."
manage,createApplication,Crie uma Candidatura
manage,cycleStart,Início do Ciclo:
manage,downloadAgreement,Baixar Contrato
manage,EIN,EIN
manage,forReview,Para Análise
manage,grantAgreement,Pronto(a) para enviar seu contrato preenchido?
manage,inviteNPO,Convidar uma NPO
manage,inviteNPOApply,Convite uma NPO para se candidatar
manage,loiDeadline,LOIs Pendentes:
manage,myRequests,Minhas Requisições
manage,newRequest,Nova Requisição
manage,nominate,Nomear
manage,noOpenCycles,"No momento, não há ciclos abertos disponíveis."
manage,notAwarded,Não Subsidiado
manage,openCycle,Aberto(s):
manage,paymentDate,Data de Pagamento
manage,progressMessage,Você possui um Relatório de Progresso pendente para
manage,readAndAcknowledge,Ler e Reconhecer
manage,region,Região
manage,registrationId,ID de Registro
manage,requestDeadline,Requisições Pendentes:
manage,updateInformation,Atualizar Informações
manage,uploadAgreement,Carregar Contrato
manage,vote,Votar
manage,budget,Orçamento
manage,EIN,Matrícula
manage,inviteNPO,Convidar uma Organização
manage,needsAgreement,Aceitação obrigatória
manage,noOpenCycles,No momento não há ciclos abertos disponíveis.
manage,registrationIdIfApp,Matrícula (se aplicável)
manage,submitAgreement,Enviar Aceitação
message,archive,Arquivar
message,body,Corpo
message,companyMessages,Mensagens da Empresa
message,delete,Excluir
message,from,De
message,givingHistory,Histórico de Doações
message,goToVolunteerPage,Ir à Página de Voluntariado
message,inbox,Caixa de Entrada
message,manageGroup,Gerenciar Grupo
message,manageProject,Gerenciar Projeto
message,markasread,Marcar como lida
message,markasunread,Marcar como não lida
message,messages,Mensagens
message,noMessages,Nenhuma Mensagem
message,of,de
message,restore,Restaurar para a caixa de entrada
message,searchForAnotherNPO,Procurar por outra organização
message,send,Enviar
message,sent,Enviado
message,subject,Assunto
message,to,para
message,toCap,Para
message,viewGroup,Ver Grupo
message,viewProject,Ver Projeto
message,viewProjectAndSignUp,Ver Projeto e Registrar-me
message,goToProjectPage,Ir À Página do Projeto
message,goToBoardPage,Ir À Página de Concessões do Conselho
message,searchForAnotherNPO,Pesquisar Por Outra Organização
message,searchProjects,Buscar Projetos
message,viewRequest,Ver Requisição
message,viewRequests,Ver Requisições
message,emailError,Houve um erro ao enviar o seu e-mail. Certifique de que o e-mail em seu perfil está correto.
message,emailSend,Enviar um E-mail
message,emailSent,E-mail enviado com sucesso.
nonprofits,accepted,Aceito
nonprofits,activities,Atividades
nonprofits,affiliation,Filiação
nonprofits,awards,Prêmios
nonprofits,assets,Bens
nonprofits,claimFiscalSponsor,Reivindique um Patrocinador Fiscal
nonprofits,contacts,Contatos
nonprofits,date,Data
nonprofits,deductibility,Dedutibilidade
nonprofits,donateWell,DonateWell
nonprofits,donateWellButtonTooltip,Veja e edite o perfil da organização na DonateWell.
nonprofits,exemptOrganizationStatus,Status de Organização Isenta
nonprofits,filingRequirements,Requisitos de Arquivamento
nonprofits,financials,Finanças
nonprofits,fiscalSponsorInstructions,"""A fim de se inscrever em nome de uma organização não 503(c) usando um patrocinador fiscal, você deve inserir algumas informações sobre a sua organização."""
nonprofits,fiscalSponsors,Patrocinadores Fiscais
nonprofits,fiscalYearEnd,Fim do Ano Fiscal
